DEPRE_VALUE_PER_YEAR,MILEAGE_KM,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,CAR_AGE_YEARS,DEREG_VALUE_FROM_SCRAPE_DATE,OMV,ARF,ENGINE_CAPACITY_CC,ROAD_TAX_PER_YEAR,CURB_WEIGHT_KG,NO_OF_OWNERS,TRANSMISSION_Auto,TRANSMISSION_Manual,VEHICLE_TYPE_Hatchback,VEHICLE_TYPE_Luxury Sedan,VEHICLE_TYPE_MPV,VEHICLE_TYPE_Mid-Sized Sedan,VEHICLE_TYPE_SUV,VEHICLE_TYPE_Sports Car,VEHICLE_TYPE_Stationwagon
7090,43206,50991,2562,2.95,50952,19990,19990,1598,242,1215,1,1,0,0,0,0,1,0,0,0
8800,23231,38000,3133,1.38,47691,19890,19890,1597,742,1249,1,1,0,0,0,0,1,0,0,0
5520,170000,25313,974,12.33,13565,12441,13686,1497,821,1095,3,1,0,0,0,0,1,0,0,0
8680,49000,50951,2589,2.87,43672,23428,9800,1560,1244,1320,1,1,0,0,0,1,0,0,0,0
85330,16000,58109,2095,4.22,298707,211937,353487,3996,3944,1420,2,1,0,0,0,0,0,0,1,0
